Time,Ax,Ay,Az,Gx,Gy,Gz
0.01657236,-8418.6,1730.746,-6151.063,-6881.061,1276.722,-4357.217,0
0.01657176,-8410.914,1709.383,-6092.868,-6884.058,1291.429,-4363.784,0
0.01657176,-8383.311,1762.486,-6087.222,-6849.705,1249.192,-4380.35,0
0.01656863,-8357.159,1759.811,-6147.876,-6834.319,1239.718,-4406.469,0
0.01656932,-8363.336,1696.976,-6150.25,-6839.254,1233.671,-4424.438,0
0.01656819,-8344.032,1704.518,-6165.157,-6806.965,1219.197,-4395.975,0
0.01656819,-8331.776,1708.949,-6140.109,-6824.463,1209.567,-4404.34,0
0.01657062,-8355.383,1693.838,-6152.152,-6833.844,1232.114,-4392.578,0
0.01657062,-8399.259,1669.001,-6124.403,-6871.896,1220.628,-4400.561,0
0.01657154,-8367.398,1701.274,-6125.099,-6838.65,1224.29,-4444.689,0
0.01656954,-8323.2,1710.714,-6173.293,-6818.292,1200.744,-4427.751,0
0.01657051,-8367.662,1668.339,-6185.738,-6834.721,1215.78,-4498.119,0
0.01657051,-8394.708,1671.072,-6213.886,-6850.995,1165.6,-4545.676,0
0.01656911,-8386.079,1672.716,-6330.768,-6853.232,1128.811,-4612.636,0
0.03314111,-8386.661,1647.012,-6317.007,-6844.792,1137.953,-4544.897,0
