Time,Ax,Ay,Az,Gx,Gy,Gz
0.01659438,-16364,-624,492,-3056,-94,140
0.01659438,-16452,-564,292,-3072,-136,171
0.01659657,-16428,-672,416,-3056,-103,169
0.01659715,-16424,-512,376,-3024,-75,127
0.01659525,-16416,-628,548,-3024,-86,92
0.01659724,-16380,-628,432,-3024,-165,147
0.01659724,-16372,-648,248,-3040,-101,156
0.01659448,-16440,-648,368,-3056,-63,166
0.01659784,-16456,-672,420,-3056,-73,144
0.01659655,-16412,-644,340,-3024,-84,102
0.01659779,-16452,-664,492,-3056,-113,144
0.01659621,-16420,-640,324,-3056,-75,241
